Indicator,Country Coverage,Year Coverage,Flag Continuity,Flag Country Coverage,Flag Year Coverage,Year Range,Percentage of Complete Records,Percentage of Complete Records in Last Five Years,Mean,Median,Standard Deviation,Minimum,Maximum,REMOVED FROM CLIAR_Indicator_selection-v2
wdi_per_sa_allsacov_q1_tot,114,21,1,0,1,1990-2022,6%,4%,52.13183804,52.13212204,29.0797953,0,99.85868073,
wdi_per_si_allsiadq_pop_tot,115,21,1,0,1,1990-2022,5%,4%,35.87705874,32.64277649,42.14879419,0.242614239,811.5479126,
wdi_per_si_allsicov_pop_tot,118,21,1,0,1,1990-2022,6%,4%,20.52582756,11.53394175,18.13312756,0.370971411,59.52041245,
wdi_per_si_allsicov_q1_tot,118,21,1,0,1,1990-2022,6%,4%,15.33792337,4.108699799,18.69290456,0,60.5796814,
wdi_secomdurs,198,32,1,1,1,1990-2022,60%,71%,9.484753363,9,2.326556381,0,17,
wdi_sepretcaqzs,138,25,1,1,1,1990-2022,16%,22%,75.30424654,83.80482483,25.86860938,0,100,
wdi_seprmenrltczs,203,30,1,1,1,1990-2022,51%,9%,26.10041015,22.50376034,13.65666509,5.225810051,100.2364883,
wdi_seprmtcaqzs,151,25,1,1,1,1990-2022,23%,28%,85.63870797,92.57585144,17.22780925,14.68150997,100,
wdi_seprmtenr,194,30,1,1,1,1990-2022,41%,7%,88.8477224,94.79257584,14.65625659,19.18833923,100,
wdi_sesecenrltczs,197,30,1,1,1,1990-2022,37%,7%,17.33395431,15.42051983,8.004102163,4.979320049,80.05232239,
wdi_sesectcaqlozs,120,25,1,0,1,1990-2022,12%,17%,80.71313417,89.72830963,22.60398072,0,100,
wdi_sesectcaqupzs,120,25,1,0,1,1990-2022,11%,15%,80.9691726,91.26344299,23.32934645,1.328273296,100,
wdi_sesectcaqzs,144,25,1,1,1,1990-2022,16%,23%,80.73065321,88.87150955,21.57440599,0.392413348,100,
wdi_seterenrltczs,191,30,1,1,1,1990-2022,33%,5%,16.24361323,14.73347998,8.31025838,1.161689997,147.5599976,
wdi_sexpdcprmzs,165,25,1,1,1,1990-2022,21%,17%,91.95138559,93.62796783,7.729676139,36.25577164,100,
wdi_sexpdcseczs,169,25,1,1,1,1990-2022,21%,17%,91.56315809,93.29556274,8.323049204,13.09702969,100,
wdi_sexpdcterzs,164,25,1,1,1,1990-2022,20%,17%,88.6075876,91.43121338,11.66806559,17.12291908,100,
wdi_sexpdctotzs,171,25,1,1,1,1990-2022,21%,16%,90.57478918,92.27321625,7.94744005,32.80998993,100,
wdi_sexpdprimpczs,172,23,1,1,1,1990-2022,22%,2%,15.67108565,14.86557961,7.122958181,0.235070005,65.10102081,
wdi_sexpdsecopczs,167,23,1,1,1,1990-2022,20%,2%,20.84410043,19.96343422,10.2704089,0,125.0330429,
wdi_sexpdtertpczs,168,24,1,1,1,1990-2022,20%,1%,66.7571841,30.2802906,154.5991989,0,2489.753418,
wdi_sexpdtotlgbzs,201,33,1,1,1,1990-2022,50%,62%,14.66249274,14.02676535,5.077771538,0.833360016,47.27873993,
wdi_sexpdtotlgdzs,203,32,1,1,1,1990-2022,51%,50%,4.472284226,4.241565228,2.166325483,0,44.33398056,
wdi_shmedbedszs,197,30,1,1,1,1990-2022,40%,4%,4.207689401,3.400000095,3.137477562,0.100000001,21.67860031,
wdi_shmedcmhwp3,65,27,1,0,1,1990-2022,3%,0%,0.437929293,0.362499997,0.449823502,0,3.654000044,
wdi_shmedphyszs,205,31,1,1,1,1990-2022,45%,25%,1.918563974,1.860399961,1.46847224,0.007,8.41989994,
wdi_shstabrtczs,203,32,1,1,1,1990-2022,39%,20%,89.32404739,98.69999695,19.84098829,5,100,
wdi_shxpdchexgdzs,190,22,1,1,1,1990-2022,53%,52%,6.207234538,5.676197052,2.793614648,1.263575673,24.23068047,
wdi_shxpdghedgdzs,190,22,1,1,1,1990-2022,53%,51%,3.270720027,2.666175842,2.331505094,0.06221094,22.25426292,
wdi_shxpdoopcchzs,190,22,1,1,1,1990-2022,53%,51%,33.75093608,31.56134605,19.6780414,0.080349617,86.06919098,
wdi_shxpdoopcppcd,190,22,1,1,1,1990-2022,53%,52%,261.9831914,175.7311096,269.3438648,0.182705224,2291.114746,
wdi_sipovdday,167,33,1,1,1,1990-2022,25%,20%,9.24373974,1.200000048,16.88832477,0,91.5,
wdi_sipovgaps,167,33,1,1,1,1990-2022,25%,20%,3.523619465,0.5,7.49492021,0,58.5,
wdi_sipovlmic,167,33,1,1,1,1990-2022,25%,20%,18.22126842,5.300000191,25.12674587,0,97.59999847,
wdi_sipovlmicgp,167,33,1,1,1,1990-2022,25%,20%,7.75751776,1.600000024,12.87216534,0,73.59999847,
wdi_sipovnahc,157,33,1,1,1,1990-2022,15%,19%,25.23630744,21.20000076,14.758592,0,96,
wdi_sipovumic,167,33,1,1,1,1990-2022,25%,20%,33.11066744,22.44999981,32.95555757,0,100,
wdi_sipovumicgp,167,33,1,1,1,1990-2022,25%,20%,16.32997811,7.049999952,20.17485355,0,100,
wdi_sluemtotlnezs,208,33,1,1,1,1990-2022,50%,44%,8.432787503,6.900000095,6.294187274,0.039999999,57,
wdi_sluemtotlzs,187,32,1,1,1,1990-2022,81%,84%,8.209941266,6.581500053,6.089572743,0.094999999,38.79999924,
wdi_spregbrthruzs,120,22,1,0,1,1990-2022,5%,5%,68.86486323,75.80000305,28.99368438,1.5,100,
wdi_spregbrthurzs,120,22,1,0,1,1990-2022,5%,5%,78.9200818,88.09999847,23.15128637,5.300000191,100,
wdi_spregbrthzs,180,23,1,1,1,1990-2022,8%,10%,81.70082203,95.59999847,24.96926635,2.700000048,100,
wjp_rol_1,140,9,1,1,1,1990-2022,14%,58%,0.56217597,0.54,0.162215938,0.17,0.95,
wjp_rol_2,140,9,1,1,1,1990-2022,14%,58%,0.5228193,0.47,0.191128027,0.16,0.96,
wjp_rol_2_2,140,9,1,1,1,1990-2022,14%,58%,0.596811731,0.56,0.235098214,0.07,0.99,
wjp_rol_3_1,140,9,1,1,1,1990-2022,14%,58%,0.471428571,0.45,0.198283694,0.09,0.95,
wjp_rol_3_2,140,9,1,1,1,1990-2022,14%,58%,0.525288553,0.51,0.155100581,0,1,
wjp_rol_3_4,140,9,1,1,1,1990-2022,14%,58%,0.557095553,0.55,0.164673642,0.06,0.98,
wjp_rol_4,140,9,1,1,1,1990-2022,14%,58%,0.584834437,0.57,0.157351409,0.2,0.93,
wjp_rol_4_3,140,9,1,1,1,1990-2022,14%,58%,0.513453169,0.47,0.178552937,0.14,0.93,
wjp_rol_4_4,140,9,1,1,1,1990-2022,14%,58%,0.584333018,0.6,0.182193482,0.06,0.97,
wjp_rol_4_5,140,9,1,1,1,1990-2022,14%,58%,0.65743614,0.69,0.160618926,0.03,0.93,
wjp_rol_4_6,140,9,1,1,1,1990-2022,14%,58%,0.504011353,0.48,0.240129763,0.02,1,
wjp_rol_4_7,140,9,1,1,1,1990-2022,14%,58%,0.635099338,0.66,0.183340774,0.06,0.98,
wjp_rol_4_8,140,9,1,1,1,1990-2022,14%,58%,0.590747398,0.58,0.137162497,0.2,0.95,
wjp_rol_6,140,9,1,1,1,1990-2022,14%,58%,0.539895932,0.5,0.148430197,0.19,0.9,
wjp_rol_6_6,140,9,1,1,1,1990-2022,14%,58%,0.575269631,0.57,0.159986233,0.14,0.94,
wjp_rol_7_1,140,9,1,1,1,1990-2022,14%,58%,0.548192999,0.54,0.11193735,0.22,0.85,
wjp_rol_7_5,140,9,1,1,1,1990-2022,14%,58%,0.457483444,0.44,0.173480705,0.06,0.95,
wjp_rol_7_6,140,9,1,1,1,1990-2022,14%,58%,0.521466414,0.5,0.168828481,0.05,0.97,
wjp_rol_7_7,140,9,1,1,1,1990-2022,14%,58%,0.660066225,0.66,0.117695258,0.22,0.97,
wjp_rol_8_1,140,9,1,1,1,1990-2022,14%,58%,0.446953642,0.43,0.149788964,0.11,0.93,
wjp_rol_8_2,140,9,1,1,1,1990-2022,14%,58%,0.494200568,0.48,0.151934338,0.11,0.9,
wjp_rol_8_4,140,9,1,1,1,1990-2022,14%,58%,0.480737938,0.48,0.164108082,0.05,0.94,
